TEST_PLAYER_RESULTS_ID,TEST_PLAYER_RESPONSE_ID,TEST_SERIAL_ID,TEST_PLAYER_TEST_SERIAL_ID,TEST_NAME,ITEM_SERIAL_ID,TEST_PLAYER_ITEM_SERIAL_ID,DISTRACTOR_SERIAL_ID,TSTPLY_DISTRACTOR_SERIAL_ID,MASTER_TEST_QUESTION_POSITION,TSTPLR_QUESTION_POSITION,DISTRACTOR_POSITION_CODE,DISTRACTOR_POSITION_CODE1,RAW_EARNED_SCORE,RAW_POSSIBLE_SCORE,CATALOG_ITEM_FLAG,
"1258704","1302237","7.M.05_02","24976","7.M.05_02","QUE_0_0_AC398132EDB24B4CB8129860A85EAAD8","42012","QUE_0_0_AC398132EDB24B4CB8129860A85EAAD8_A1","121742","1","1","2","B","1","1","Y"
"1258704","1302238","7.M.05_02","24976","7.M.05_02","QUE_0_1_AC398132EDB24B4CB8129860A85EAAD8","42013","QUE_0_1_AC398132EDB24B4CB8129860A85EAAD8_A3","121748","2","2","4","D","1","1","Y"
"1258704","1302239","7.M.05_02","24976","7.M.05_02","QUE_0_2_AC398132EDB24B4CB8129860A85EAAD8","42014","QUE_0_2_AC398132EDB24B4CB8129860A85EAAD8_A1","121750","3","3","2","B","0","1","Y"
"1258704","1302240","7.M.05_02","24976","7.M.05_02","QUE_0_3_AC398132EDB24B4CB8129860A85EAAD8","42015","QUE_0_3_AC398132EDB24B4CB8129860A85EAAD8_A1","121754","4","4","2","B","0","1","Y"
"1258704","1302241","7.M.05_02","24976","7.M.05_02","QUE_0_4_AC398132EDB24B4CB8129860A85EAAD8","42016","50","50","5","5","0","","1","1","Y"
"1263937","1347668","7.M.05_02","24976","7.M.05_02","QUE_0_0_AC398132EDB24B4CB8129860A85EAAD8","42012","QUE_0_0_AC398132EDB24B4CB8129860A85EAAD8_A1","121742","1","1","2","B","1","1","Y"
"1263937","1347669","7.M.05_02","24976","7.M.05_02","QUE_0_1_AC398132EDB24B4CB8129860A85EAAD8","42013","QUE_0_1_AC398132EDB24B4CB8129860A85EAAD8_A3","121748","2","2","4","D","1","1","Y"
"1263937","1347670","7.M.05_02","24976","7.M.05_02","QUE_0_2_AC398132EDB24B4CB8129860A85EAAD8","42014","QUE_0_2_AC398132EDB24B4CB8129860A85EAAD8_A0","121749","3","3","1","A","1","1","Y"
"1263937","1347671","7.M.05_02","24976","7.M.05_02","QUE_0_3_AC398132EDB24B4CB8129860A85EAAD8","42015","QUE_0_3_AC398132EDB24B4CB8129860A85EAAD8_A3","121756","4","4","4","D","1","1","Y"
"1263937","1347672","7.M.05_02","24976","7.M.05_02","QUE_0_4_AC398132EDB24B4CB8129860A85EAAD8","42016","50","50","5","5","0","","1","1","Y"
"1264286","1349413","7.M.07_01","24981","7.M.07_01","QUE_0_0_50FC207F6E9E46BEBFE6C4BBA7AAC8D2","42037","QUE_0_0_50FC207F6E9E46BEBFE6C4BBA7AAC8D2_A1","121827","1","1","2","B","1","1","Y"
"1264286","1349414","7.M.07_01","24981","7.M.07_01","QUE_0_1_50FC207F6E9E46BEBFE6C4BBA7AAC8D2","42038","QUE_0_1_50FC207F6E9E46BEBFE6C4BBA7AAC8D2_A2","121832","2","2","3","C","1","1","Y"
"1264286","1349415","7.M.07_01","24981","7.M.07_01","QUE_0_2_50FC207F6E9E46BEBFE6C4BBA7AAC8D2","42039","QUE_0_2_50FC207F6E9E46BEBFE6C4BBA7AAC8D2_A3","121837","3","3","4","D","1","1","Y"
"1264286","1349416","7.M.07_01","24981","7.M.07_01","QUE_0_3_50FC207F6E9E46BEBFE6C4BBA7AAC8D2","42040","QUE_0_3_50FC207F6E9E46BEBFE6C4BBA7AAC8D2_A0","121838","4","4","1","A","1","1","Y"
"1264286","1349417","7.M.07_01","24981","7.M.07_01","QUE_0_4_50FC207F6E9E46BEBFE6C4BBA7AAC8D2","42041","183.58","183.58","5","5","0","","0","1","Y"
"1265625","1356108","7.M.05_02","24976","7.M.05_02","QUE_0_0_AC398132EDB24B4CB8129860A85EAAD8","42012","QUE_0_0_AC398132EDB24B4CB8129860A85EAAD8_A1","121742","1","1","2","B","1","1","Y"
"1265625","1356109","7.M.05_02","24976","7.M.05_02","QUE_0_1_AC398132EDB24B4CB8129860A85EAAD8","42013","QUE_0_1_AC398132EDB24B4CB8129860A85EAAD8_A3","121748","2","2","4","D","1","1","Y"
"1265625","1356110","7.M.05_02","24976","7.M.05_02","QUE_0_2_AC398132EDB24B4CB8129860A85EAAD8","42014","QUE_0_2_AC398132EDB24B4CB8129860A85EAAD8_A0","121749","3","3","1","A","1","1","Y"
"1265625","1356111","7.M.05_02","24976","7.M.05_02","QUE_0_3_AC398132EDB24B4CB8129860A85EAAD8","42015","QUE_0_3_AC398132EDB24B4CB8129860A85EAAD8_A1","121754","4","4","2","B","0","1","Y"
"1265625","1356112","7.M.05_02","24976","7.M.05_02","QUE_0_4_AC398132EDB24B4CB8129860A85EAAD8","42016","50","50","5","5","0","","1","1","Y"
"1265831","1357138","7.M.05_02","24976","7.M.05_02","QUE_0_0_AC398132EDB24B4CB8129860A85EAAD8","42012","QUE_0_0_AC398132EDB24B4CB8129860A85EAAD8_A3","121744","1","1","4","D","0","1","Y"
"1265831","1357139","7.M.05_02","24976","7.M.05_02","QUE_0_1_AC398132EDB24B4CB8129860A85EAAD8","42013","QUE_0_1_AC398132EDB24B4CB8129860A85EAAD8_A3","121748","2","2","4","D","1","1","Y"
"1265831","1357140","7.M.05_02","24976","7.M.05_02","QUE_0_2_AC398132EDB24B4CB8129860A85EAAD8","42014","QUE_0_2_AC398132EDB24B4CB8129860A85EAAD8_A1","121750","3","3","2","B","0","1","Y"
